nprocs,pbs_job_id,degree,dofs_per_core,mesh_gen_time_s,run0,run1,run2,run3
128,662021.pbs-6,3,197536.96484375,149.695213971,12.557656262,5.26655434,5.313355549,5.221531799
512,662023.pbs-6,3,201512.4453125,892.578110704,42.959936557,6.26182485,6.279516129,6.450742461
256,662022.pbs-6,3,202754.640625,415.876683952,15.302515904,5.746858517,6.013190888,5.838695054
1024,662024.pbs-6,3,202627.609375,3280.744049572,192.426275741,6.497494776,6.473204112,6.55926574
1,662020.pbs-6,3,211046.5,1.547367112,4.245587553,2.212078538,2.182424087,2.171122212
2,662020.pbs-6,3,206998.25,2.995948637,3.448885866,2.513528309,2.503061347,2.503129858
4,662020.pbs-6,3,198019.375,4.190743957,3.474906836,2.528954959,2.512858189,2.488361292
8,662020.pbs-6,3,197744.1875,6.754741078,3.620113891,2.674127941,2.55945597,2.604163647
16,662020.pbs-6,3,196575.53125,12.182750497,3.903719893,2.968039473,2.960182217,3.012100707
32,662020.pbs-6,3,199511.046875,26.411060935,5.521615567,3.823540588,3.881019679,3.795488324
64,662020.pbs-6,3,198945.6484375,63.928313592,6.509324494,5.021269864,5.00925217,4.849105882
2048,661999.pbs-6,3,203145.32202148438,9656.146421269,3494.487705325,6.817361661,6.494235899,6.400542196
