nprocs,pbs_job_id,degree,dofs_per_core,mesh_gen_time_s,firedrake_git_commit,source_cells,source_dofs,target_dofs,found_target_points,missing_target_points,run0,run1,run2,run3,run4,run5,run6,run7,run8,run9
1024,668118.pbs-6,3,202627.609375,3237.658929391,ebb9aed8443fd9b707f0ee43ffc693f4902fb7f8,45177216,204336469,210644875,210644875,0,6.705602502,6.648665826,6.77529339,6.678433546,7.149408648,6.79022807,6.907044926,7.335541447,6.956565344,6.816100625
2048,668119.pbs-6,3,203145.32202148438,10158.473177248,ebb9aed8443fd9b707f0ee43ffc693f4902fb7f8,90415338,408518488,423564751,423564751,0,7.920985113,7.525149046,7.121964057,7.226601033,7.194056697,7.28810756,7.32091836,7.416352532,7.355915392,7.540717895
1,668114.pbs-6,3,211046.5,1.584645678,ebb9aed8443fd9b707f0ee43ffc693f4902fb7f8,41154,195112,226981,226981,0,2.361651149,2.355091088,2.356899293,2.358315323,2.358667898,2.357557163,2.36192253,2.354470647,2.351316766,2.372027856
2,668114.pbs-6,3,206998.25,2.984725927,ebb9aed8443fd9b707f0ee43ffc693f4902fb7f8,82944,389017,438976,438976,0,2.738287642,2.735145957,2.755308066,2.722515862,2.72805842,2.748542915,2.707765063,2.7409411,2.732651922,2.736452146
4,668114.pbs-6,3,198019.375,4.22416478,ebb9aed8443fd9b707f0ee43ffc693f4902fb7f8,162000,753571,830584,830584,0,2.828143389,2.846185522,2.766830419,2.84456831,2.794265483,2.928295589,2.802478321,2.829305138,2.766577835,2.80022882
8,668114.pbs-6,3,197744.1875,6.832493181,ebb9aed8443fd9b707f0ee43ffc693f4902fb7f8,329232,1520875,1643032,1643032,0,2.865443723,2.991400587,2.853429017,2.918112639,2.88178735,2.899025258,2.858732971,2.922870257,2.943027928,2.904789226
16,668114.pbs-6,3,196575.53125,12.201711095,ebb9aed8443fd9b707f0ee43ffc693f4902fb7f8,663552,3048625,3241792,3241792,0,3.185951512,3.223401527,3.100765923,3.165075265,3.148520787,3.148953403,3.168274995,3.191551816,3.130131106,3.133664205
32,668114.pbs-6,3,199511.046875,28.016395074,ebb9aed8443fd9b707f0ee43ffc693f4902fb7f8,1361886,6229504,6539203,6539203,0,4.003620341,4.090413507,4.107528043,4.037949834,4.070691543,4.018331783,4.102416948,3.968300473,4.038561271,4.052190104
64,668114.pbs-6,3,198945.6484375,61.590552562,ebb9aed8443fd9b707f0ee43ffc693f4902fb7f8,2739198,12487168,12977875,12977875,0,5.321651067,5.195589558,5.324466412,5.194080639,5.337848489,5.192096821,5.23431575,5.22623941,5.326402059,5.394705598
256,668116.pbs-6,3,202754.640625,381.112609687,ebb9aed8443fd9b707f0ee43ffc693f4902fb7f8,11165202,50653000,53157376,53157376,0,6.271066428,6.298054553,6.269581701,6.490255097,6.322950363,6.388764441,6.403751366,6.439007567,6.379902627,6.429098748
