nprocs,pbs_job_id,degree,dofs_per_core,total_dofs,mesh_gen_time_s,firedrake_git_commit,source_cells,source_dofs,target_dofs,found_target_points,missing_target_points,run0,run1,run2,run3,run4,run5,run6,run7,run8,run9
128,668102.pbs-6,3,78197.87890625,10000000,54.093120174,510047492d1c1e3e3581fd1836a52edb6d22773c,2147466,9800344,10218313,10218313,0,2.446902805,2.592023469,2.48773031,2.408604049,2.64214774,2.4865005,2.396995514,2.493256972,2.499490717,2.487797513
256,668103.pbs-6,3,39098.939453125,10000000,65.393828254,510047492d1c1e3e3581fd1836a52edb6d22773c,2147466,9800344,10218313,10218313,0,1.450907267,1.460931048,1.495099003,1.625660047,1.549002942,1.540638941,1.612567183,1.54066185,1.564216377,1.653127683
512,668104.pbs-6,3,19549.4697265625,10000000,79.672600481,510047492d1c1e3e3581fd1836a52edb6d22773c,2147466,9800344,10218313,10218313,0,1.377881533,1.258689434,1.377489504,1.518011273,1.284904048,1.326938163,1.495800246,1.404763704,1.471221401,1.454121141
1024,668105.pbs-6,3,9774.73486328125,10000000,129.990354851,510047492d1c1e3e3581fd1836a52edb6d22773c,2147466,9800344,10218313,10218313,0,1.438225375,1.222333446,1.381157055,1.134097732,1.09396022,1.110344048,1.228540966,1.441900264,1.275272651,1.20288904
2048,668106.pbs-6,3,4887.367431640625,10000000,121.572792242,510047492d1c1e3e3581fd1836a52edb6d22773c,2147466,9800344,10218313,10218313,0,1.329392683,1.129739627,1.251445317,1.125843957,1.222983441,1.135907597,1.313970523,1.213958362,1.190180513,1.506362985
1,668101.pbs-6,3,10009328.5,10000000,79.564106947,510047492d1c1e3e3581fd1836a52edb6d22773c,2147466,9800344,10218313,10218313,0,110.225839698,110.367859221,110.214798124,110.352326709,110.595992574,110.163285807,110.272685499,110.365874204,110.145667233,110.134479348
2,668101.pbs-6,3,5004664.25,10000000,77.315428581,510047492d1c1e3e3581fd1836a52edb6d22773c,2147466,9800344,10218313,10218313,0,56.255880007,56.211128028,56.267044517,56.302429427,56.191258883,56.416984618,56.405197444,56.398379595,56.361515227,56.424014451
4,668101.pbs-6,3,2502332.125,10000000,54.846901327,510047492d1c1e3e3581fd1836a52edb6d22773c,2147466,9800344,10218313,10218313,0,33.35186677,33.35418548,33.286310561,33.377908641,33.308349348,33.329777977,33.401521927,33.251013171,33.42833145,33.395844597
8,668101.pbs-6,3,1251166.0625,10000000,43.8868,510047492d1c1e3e3581fd1836a52edb6d22773c,2147466,9800344,10218313,10218313,0,17.678070696,17.857798574,17.679630384,17.74724102,17.722735913,17.75565665,17.753588235,17.82035681,17.822341642,17.738935117
16,668101.pbs-6,3,625583.03125,10000000,40.536354585,510047492d1c1e3e3581fd1836a52edb6d22773c,2147466,9800344,10218313,10218313,0,9.507952588,9.459451479,9.469078627,9.438648503,9.964006326,9.578230066,9.741030411,9.771789126,9.971787408,9.752952736
32,668101.pbs-6,3,312791.515625,10000000,42.6889237,510047492d1c1e3e3581fd1836a52edb6d22773c,2147466,9800344,10218313,10218313,0,6.042949271,6.096483232,6.075490415,6.063630946,6.04793165,6.070143958,6.061509604,6.104409333,6.049826344,6.055158709
64,668101.pbs-6,3,156395.7578125,10000000,52.995610462,510047492d1c1e3e3581fd1836a52edb6d22773c,2147466,9800344,10218313,10218313,0,3.610862516,3.660818,3.622818957,3.745489537,3.657357048,3.646465998,3.687638213,3.725227455,3.763086859,3.682004597
