nprocs,pbs_job_id,degree,dofs_per_core,mesh_gen_time_s,apply0,apply1,apply2,apply3,apply4,apply5
1,552342.pbs-6,3,211046.5,7.389523617,0.009768284,0.00916915,0.009039537,0.009035795,0.008964186,0.008972803
2,552342.pbs-6,3,206998.25,8.809665093,0.012235477,0.010666605,0.010461438,0.010468407,0.010434996,0.010604199
4,552342.pbs-6,3,198019.375,9.893362591,0.01202184,0.010083519,0.010059167,0.009995642,0.010034171,0.010009376
8,552342.pbs-6,3,197744.1875,12.710621604,0.015133963,0.014424727,0.014550236,0.014594576,0.014587412,0.014504652
16,552342.pbs-6,3,196575.53125,18.314270347,0.018175292,0.017086198,0.017291472,0.016887213,0.019213061,0.017372292
32,552342.pbs-6,3,199511.046875,36.004224034,0.020352812,0.018168696,0.018355028,0.018362469,0.017601793,0.017483795
64,552342.pbs-6,3,198945.6484375,70.911973179,0.024692808,0.023613666,0.023890674,0.023854785,0.023822836,0.024082499
128,552342.pbs-6,3,197536.96484375,149.018678393,0.028299288,0.025519053,0.026039046,0.025435341,0.025460249,0.025280962
256,552342.pbs-6,3,202754.640625,370.879768883,0.02828474,0.026114297,0.025881712,0.025894048,0.029442093,0.026552798
512,552343.pbs-6,3,201512.4453125,997.66007309,0.032219512,0.026488153,0.028224472,0.026926128,0.027814668,0.027424608
