nprocs,pbs_job_id,degree,dofs_per_core,total_dofs,mesh_gen_time_s,run0,run1,run2,run3
1,552345.pbs-6,3,10009328.5,10000000,338.939241471,131.800115348,126.801753155,127.079930539,127.838977493
2,552345.pbs-6,3,5004664.25,10000000,215.766805499,68.293979645,65.930688396,65.854565995,65.941619885
4,552345.pbs-6,3,2502332.125,10000000,124.27077797,40.351354794,38.488120345,38.437302096,38.468521617
8,552345.pbs-6,3,1251166.0625,10000000,79.669143108,22.044245683,20.464649862,20.2796896,20.58792528
16,552345.pbs-6,3,625583.03125,10000000,58.574017747,12.722476561,11.281621764,11.093604767,11.10890513
32,552345.pbs-6,3,312791.515625,10000000,56.296402121,8.112514206,6.918187739,6.958618769,6.982421473
64,552345.pbs-6,3,156395.7578125,10000000,57.884477274,5.710802852,4.243736079,4.212889249,4.137587832
128,552345.pbs-6,3,78197.87890625,10000000,61.240957234,4.298228156,2.630769635,2.694055237,2.638585521
256,552345.pbs-6,3,39098.939453125,10000000,68.410787258,3.615653292,1.702444132,1.720356336,1.724017717
512,556990.pbs-6,3,19549.4697265625,10000000,101.235181675,4.829888689,1.442580181,1.478280817,1.423063689
