nprocs,pbs_job_id,degree,dofs_per_core,mesh_gen_time_s,run0,run1,run2,run3
1,552618.pbs-6,3,211046.5,8.472888293,5.104453003,2.577882796,2.572337878,2.625277004
2,552618.pbs-6,3,206998.25,9.159323992,4.99643867,3.031403624,3.001992147,3.002106841
4,552618.pbs-6,3,198019.375,10.181336771,3.908396506,3.027664847,3.011852723,2.993806189
8,552618.pbs-6,3,197744.1875,12.560997011,3.995103372,3.079262387,3.11513756,3.083319116
16,552618.pbs-6,3,196575.53125,18.939461523,4.732406282,3.705762721,3.451376697,3.726196258
32,552618.pbs-6,3,199511.046875,36.335294823,5.666277039,4.259083968,4.306474527,4.292602705
64,552618.pbs-6,3,198945.6484375,72.14197039,7.683623608,5.354659516,5.602704954,5.32163111
128,552618.pbs-6,3,197536.96484375,154.863325889,8.718079034,5.635234953,5.699911238,5.675732904
256,552618.pbs-6,3,202754.640625,385.381790232,9.192705504,6.639526638,6.547847203,6.333269333
512,553994.pbs-6,3,201512.4453125,1078.803140071,10.093750947,7.018137364,7.438614617,6.870557085
1024,557012.pbs-6,3,202627.609375,3045.25647961,10.556357479,7.840970281,7.584845269,7.565437582
