nprocs,pbs_job_id,degree,dofs_per_core,mesh_gen_time_s,apply0,apply1,apply2,apply3,apply4,apply5
1,556433.pbs-6,3,211046.5,8.268710987,0.011924045,0.011098482,0.012323331,0.010819904,0.010571694,0.010744241
2,556433.pbs-6,3,206998.25,8.829927566,0.012906697,0.011848217,0.013820064,0.013070486,0.013286251,0.013394735
4,556433.pbs-6,3,198019.375,10.036001693,0.01331789,0.012300875,0.014651158,0.01311767,0.013409248,0.01333472
8,556433.pbs-6,3,197744.1875,12.824138068,0.014354704,0.013665322,0.015630648,0.014199014,0.014274671,0.014049264
16,556433.pbs-6,3,196575.53125,19.410942011,0.016766312,0.016375037,0.018865985,0.016282703,0.016727829,0.016354675
32,556433.pbs-6,3,199511.046875,35.291525452,0.022712301,0.021374058,0.025391522,0.022551798,0.022597079,0.02221359
64,556433.pbs-6,3,198945.6484375,78.011085863,0.025552364,0.025732732,0.028164144,0.027454159,0.025616214,0.027669941
128,556433.pbs-6,3,197536.96484375,171.703137891,0.028818679,0.049697192,0.063739075,0.047381485,0.028345401,0.027978981
256,556433.pbs-6,3,202754.640625,447.332598629,0.033550801,0.030825078,0.03242483,0.032485437,0.032786896,0.047261412
512,556434.pbs-6,3,201512.4453125,1009.380217702,0.065189913,0.084278719,0.036042631,0.031504868,0.041810154,0.03413994
1024,556435.pbs-6,3,202627.609375,3085.351963995,0.041262016,0.044423212,0.078468376,0.054413537,0.031762132,0.138915518
2048,555999.pbs-6,3,203145.32202148438,9101.274867127,0.054979713,0.042339072,0.056454557,0.056712904,0.045298096,0.040103523
