nprocs,pbs_job_id,degree,dofs_per_core,mesh_gen_time_s,apply0,apply1,apply2,apply3,apply4,apply5
512,556001.pbs-6,3,201512.4453125,1006.083256603,0.008078326,0.00522496,0.005184605,0.005101561,0.005460556,0.005042249
1,556000.pbs-6,3,211046.5,6.994960657,0.001960697,0.001474029,0.001120153,0.001119931,0.001060245,0.001123123
2,556000.pbs-6,3,206998.25,8.886051944,0.002921742,0.002521994,0.002075815,0.002051114,0.002065051,0.002051949
4,556000.pbs-6,3,198019.375,10.047253647,0.002837589,0.002151847,0.0020499,0.002029209,0.001921969,0.001925756
8,556000.pbs-6,3,197744.1875,12.996613864,0.002878606,0.001827082,0.001761774,0.001702709,0.001658694,0.001639234
16,556000.pbs-6,3,196575.53125,18.501458549,0.003100966,0.002438994,0.00227717,0.002080733,0.002031088,0.002013896
32,556000.pbs-6,3,199511.046875,36.259439412,0.004263419,0.003208496,0.003260027,0.003156183,0.003131314,0.003236055
64,556000.pbs-6,3,198945.6484375,69.820545301,0.004583505,0.003663572,0.00394518,0.004130199,0.003284469,0.00324642
128,556000.pbs-6,3,197536.96484375,154.519830398,0.006289653,0.004699985,0.003724567,0.004075124,0.005309397,0.005121007
256,556000.pbs-6,3,202754.640625,364.366475683,0.007142701,0.004743981,0.005546479,0.005246662,0.004801215,0.004313154
1024,556002.pbs-6,3,202627.609375,2872.28090636,0.00679526,0.003359069,0.003434722,0.00341506,0.003564402,0.003288832
