nprocs,pbs_job_id,degree,dofs_per_core,total_dofs,mesh_gen_time_s,run0,run1,run2,run3
1,556444.pbs-6,3,10009328.5,10000000,348.682019866,37.43582569,32.949514789,33.111850608,32.730647436
2,556444.pbs-6,3,5004664.25,10000000,217.111060693,20.967810597,17.931815089,17.83941728,17.944939543
4,556444.pbs-6,3,2502332.125,10000000,126.44202604,11.167096282,9.022799355,9.096467439,8.979286899
8,556444.pbs-6,3,1251166.0625,10000000,82.407896741,6.478646199,4.769128955,4.760815877,4.708433866
16,556444.pbs-6,3,625583.03125,10000000,58.399522519,3.663864355,2.603033742,2.624646322,2.608243239
32,556444.pbs-6,3,312791.515625,10000000,55.643372944,3.495384659,1.675015833,1.680105709,1.678888209
64,556444.pbs-6,3,156395.7578125,10000000,61.789362199,3.214029473,0.99010618,1.024841977,1.01374337
128,556444.pbs-6,3,78197.87890625,10000000,73.899421024,3.140966422,0.635444343,0.606966179,0.580978219
256,556444.pbs-6,3,39098.939453125,10000000,83.664117501,3.263834187,0.355560399,0.356563493,0.515660784
512,556445.pbs-6,3,19549.4697265625,10000000,80.285513207,2.6735726,0.239305649,0.22361213,0.223605029
1024,556446.pbs-6,3,9774.73486328125,10000000,139.94716689,3.000515338,0.33832634,0.320415775,0.754910829
