nprocs,pbs_job_id,degree,dofs_per_core,mesh_gen_time_s,run0,run1,run2,run3
512,556439.pbs-6,3,201512.4453125,1065.401120108,4.663110414,1.540129548,1.500429145,1.506770533
1,556438.pbs-6,3,211046.5,7.615226679,2.680771605,0.762983005,0.763389599,0.761100828
2,556438.pbs-6,3,206998.25,8.672067006,1.688691698,0.816280194,0.815820199,0.816525805
4,556438.pbs-6,3,198019.375,10.018045842,1.681553459,0.797255424,0.792525402,0.816051598
8,556438.pbs-6,3,197744.1875,12.591806707,1.675864053,0.794538475,0.796632872,0.802982588
16,556438.pbs-6,3,196575.53125,18.449717025,1.801189613,0.88799451,0.846712033,0.896459845
32,556438.pbs-6,3,199511.046875,34.558585752,2.760689486,1.104387741,1.1209128,1.066275186
64,556438.pbs-6,3,198945.6484375,74.231558233,3.521345711,1.240555482,1.246822555,1.240219191
128,556438.pbs-6,3,197536.96484375,169.096089059,3.913413471,1.334276866,1.317895425,1.350593874
256,556438.pbs-6,3,202754.640625,421.711678106,4.049665267,1.445238862,1.423245751,1.540153898
