nprocs,pbs_job_id,degree,dofs_per_core,mesh_gen_time_s,firedrake_git_commit,source_cells,source_dofs,target_dofs,assembly_time_s,first_apply_time_s,apply0,apply1,apply2,apply3,apply4,apply5
1,668132.pbs-6,3,211046.5,1.526658527,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,41154,195112,226981,0.002242983,0.547063417,0.010876295,0.011293763,0.010506268,0.010396029,0.010419615,0.010415211
2,668132.pbs-6,3,206998.25,3.030109154,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,82944,389017,438976,0.002268171,0.677621604,0.011720693,0.011560246,0.011331241,0.011266241,0.01162729,0.011606036
4,668132.pbs-6,3,198019.375,4.226135972,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,162000,753571,830584,0.002348686,0.599823828,0.011991703,0.012227824,0.011907287,0.011921003,0.011959831,0.01208925
8,668132.pbs-6,3,197744.1875,6.909801546,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,329232,1520875,1643032,0.002389518,0.622754379,0.013998555,0.013876473,0.013544998,0.013523176,0.013522272,0.013545195
16,668132.pbs-6,3,196575.53125,12.305986127,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,663552,3048625,3241792,0.002414955,0.643997963,0.015945297,0.016052586,0.015864367,0.015882111,0.015795515,0.015814741
32,668132.pbs-6,3,199511.046875,28.224772348,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,1361886,6229504,6539203,0.002473184,0.831285896,0.021837856,0.022105868,0.021778818,0.021646507,0.022694487,0.022971056
64,668132.pbs-6,3,198945.6484375,61.911813789,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,2739198,12487168,12977875,0.004277289,0.942998221,0.023954073,0.024084171,0.023787855,0.023903537,0.02381175,0.023580173
512,668135.pbs-6,3,201512.4453125,995.878032302,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,22343250,101194696,105154048,0.004012402,1.181100767,0.041579003,0.027361782,0.032000756,0.031571122,0.028320577,0.032075304
128,668133.pbs-6,3,197536.96484375,111.432868932,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,5476038,24897088,25672375,0.003760547,1.005139551,0.029483137,0.025068475,0.025108315,0.023832379,0.024388513,0.024910045
256,668134.pbs-6,3,202754.640625,302.777157882,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,11165202,50653000,53157376,0.003488959,1.231709138,0.027021775,0.02704011,0.029667283,0.026008947,0.032118002,0.026000142
1024,668136.pbs-6,3,202627.609375,2975.832731435,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,45177216,204336469,210644875,0.004739618,1.543525045,0.151382177,0.058123375,0.064285491,0.066418505,0.061268172,0.073364767
