nprocs,pbs_job_id,degree,dofs_per_core,mesh_gen_time_s,firedrake_git_commit,source_cells,source_dofs,target_dofs,found_target_points,missing_target_points,assembly_time_s,first_apply_time_s,apply0,apply1,apply2,apply3,apply4,apply5
1,668138.pbs-6,3,211046.5,1.536667866,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,41154,195112,226981,7442,219539,0.568236781,0.00138069,0.001519531,0.001209619,0.001106463,0.001119003,0.001099591,0.001092759
2,668138.pbs-6,3,206998.25,3.015653573,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,82944,389017,438976,11552,427424,0.648099667,0.001935754,0.001791719,0.001538243,0.001516538,0.001628153,0.001594475,0.001337742
4,668138.pbs-6,3,198019.375,4.209819926,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,162000,753571,830584,17672,812912,0.611142358,0.001954478,0.002295113,0.001742746,0.0018222,0.001643356,0.001541747,0.001715755
8,668138.pbs-6,3,197744.1875,6.845833779,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,329232,1520875,1643032,27848,1615184,0.63372367,0.00207458,0.001896549,0.001489958,0.001409792,0.001459256,0.001387559,0.001659145
16,668138.pbs-6,3,196575.53125,12.380338094,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,663552,3048625,3241792,43808,3197984,0.682587314,0.002144868,0.002161548,0.001792462,0.001801499,0.001775398,0.001729097,0.001915753
32,668138.pbs-6,3,199511.046875,26.260260936,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,1361886,6229504,6539203,69938,6469265,0.796125748,0.002567176,0.002804253,0.00238808,0.002395409,0.0023534,0.002539117,0.002679814
64,668138.pbs-6,3,198945.6484375,65.17940395,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,2739198,12487168,12977875,110450,12867425,1.084915304,0.003053923,0.003244431,0.002840663,0.002811081,0.002780432,0.002937644,0.003166982
128,668139.pbs-6,3,197536.96484375,137.271947246,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,5476038,24897088,25672375,174050,25498325,1.143219416,0.003070769,0.003628401,0.002831365,0.002747046,0.002755391,0.007638692,0.003066582
256,668140.pbs-6,3,202754.640625,302.771168046,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,11165202,50653000,53157376,282752,52874624,1.270450625,0.003700159,0.003516078,0.003247187,0.008386752,0.003520026,0.003582039,0.004045534
512,668141.pbs-6,3,201512.4453125,986.646406687,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,22343250,101194696,105154048,445568,104708480,1.274301176,0.00403209,0.004498378,0.003998187,0.003899118,0.003882806,0.003803436,0.003902374
1024,668142.pbs-6,3,202627.609375,2982.194587069,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,45177216,204336469,210644875,708050,209936825,1.303716744,0.004135541,0.008008618,0.003273847,0.003264324,0.003438033,0.004012989,0.004243957
