nprocs,pbs_job_id,degree,dofs_per_core,mesh_gen_time_s,firedrake_git_commit,source_cells,source_dofs,target_dofs,found_target_points,missing_target_points,run0,run1,run2,run3,run4,run5,run6,run7,run8,run9
128,668127.pbs-6,3,197536.96484375,143.739537869,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,5476038,24897088,25672375,174050,25498325,1.201737728,1.101653376,1.070414425,1.129338932,1.163101933,1.054249646,1.10328005,1.063159065,1.070819534,1.071070322
1,668126.pbs-6,3,211046.5,1.546606399,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,41154,195112,226981,7442,219539,0.572134042,0.57881251,0.5728248,0.576392896,0.595036513,0.573373013,0.572332007,0.573111735,0.57034592,0.569948027
2,668126.pbs-6,3,206998.25,3.026398779,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,82944,389017,438976,11552,427424,0.671329809,0.671231841,0.671539636,0.681304682,0.670920436,0.649945476,0.658844731,0.650107137,0.654424854,0.691288564
4,668126.pbs-6,3,198019.375,4.224998925,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,162000,753571,830584,17672,812912,0.665561706,0.635748447,0.612935802,0.653314452,0.637675481,0.635429384,0.645242273,0.652189424,0.610378391,0.64053772
8,668126.pbs-6,3,197744.1875,6.812520725,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,329232,1520875,1643032,27848,1615184,0.615329675,0.605138242,0.617605793,0.619097729,0.610511645,0.618693692,0.615968246,0.634252258,0.607129813,0.608097943
16,668126.pbs-6,3,196575.53125,12.245004354,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,663552,3048625,3241792,43808,3197984,0.680266013,0.690582055,0.680273794,0.685511177,0.689599967,0.686342904,0.679987367,0.701115148,0.680419695,0.714733144
32,668126.pbs-6,3,199511.046875,28.222528348,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,1361886,6229504,6539203,69938,6469265,0.817694192,0.830213603,0.844344406,0.812604699,0.838191722,0.801233491,0.843536165,0.887622873,0.825067369,0.860820061
64,668126.pbs-6,3,198945.6484375,60.82514579,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,2739198,12487168,12977875,110450,12867425,1.002268932,0.953621375,0.954457552,0.995533027,0.960035709,1.044426814,1.000205727,1.114133043,0.956144089,0.993685548
256,668128.pbs-6,3,202754.640625,378.009100851,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,11165202,50653000,53157376,282752,52874624,1.234807608,1.1866242,1.186152631,1.202051773,1.271504966,1.177128987,1.184987633,1.47414932,1.192323415,1.193898419
512,668129.pbs-6,3,201512.4453125,1063.89775722,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,22343250,101194696,105154048,445568,104708480,1.140278958,1.320730438,1.343822786,1.274339427,1.234461723,1.230284397,1.22161603,1.362361521,1.228586325,1.187590707
1024,668130.pbs-6,3,202627.609375,3102.643738148,c8dd1bb1590ad5fa3f269ca82e08d401949ba51e,45177216,204336469,210644875,708050,209936825,1.230277974,1.246745187,1.421636706,1.216643975,1.377383914,1.243063835,1.307322129,1.437425791,1.236020958,1.326709393
