nprocs,pbs_job_id,degree,dofs_per_core,mesh_gen_time_s,firedrake_git_commit,source_cells,source_dofs,target_dofs,found_target_points,missing_target_points,run0,run1,run2,run3,run4,run5,run6,run7,run8,run9
1,668156.pbs-6,3,211046.5,1.552330083,ebb9aed8443fd9b707f0ee43ffc693f4902fb7f8,41154,195112,226981,7442,219539,0.594004251,0.569359003,0.592106635,0.593787633,0.610225216,0.566159591,0.567242271,0.568839456,0.601464865,0.57348574
2,668156.pbs-6,3,206998.25,2.996913877,ebb9aed8443fd9b707f0ee43ffc693f4902fb7f8,82944,389017,438976,11552,427424,0.668530714,0.654495068,0.689056646,0.666832025,0.660660674,0.668398356,0.658000481,0.662421329,0.652813273,0.658858731
4,668156.pbs-6,3,198019.375,4.241379772,ebb9aed8443fd9b707f0ee43ffc693f4902fb7f8,162000,753571,830584,17672,812912,0.679525016,0.672077412,0.666763587,0.647361558,0.68061346,0.669001831,0.691201073,0.723070346,0.697688846,0.697650486
8,668156.pbs-6,3,197744.1875,6.854006383,ebb9aed8443fd9b707f0ee43ffc693f4902fb7f8,329232,1520875,1643032,27848,1615184,0.644958914,0.672034785,0.643681207,0.64542044,0.642520105,0.643909626,0.675668708,0.669662821,0.639533691,0.645930768
16,668156.pbs-6,3,196575.53125,12.255538955,ebb9aed8443fd9b707f0ee43ffc693f4902fb7f8,663552,3048625,3241792,43808,3197984,0.733437949,0.681030982,0.7183108,0.691340647,0.729235487,0.698812351,0.706770888,0.69886129,0.717014815,0.69033102
32,668156.pbs-6,3,199511.046875,28.278274562,ebb9aed8443fd9b707f0ee43ffc693f4902fb7f8,1361886,6229504,6539203,69938,6469265,0.918512807,0.864596171,0.946454378,0.856847631,0.918915201,0.90649436,0.88410038,0.930890291,0.901145664,0.885280772
64,668156.pbs-6,3,198945.6484375,62.289999648,ebb9aed8443fd9b707f0ee43ffc693f4902fb7f8,2739198,12487168,12977875,110450,12867425,1.125278495,1.058342706,1.070881764,1.078066218,1.067298784,1.162768107,1.062316599,1.063491093,1.116733782,1.054335324
128,668157.pbs-6,3,197536.96484375,120.892996436,ebb9aed8443fd9b707f0ee43ffc693f4902fb7f8,5476038,24897088,25672375,174050,25498325,1.059482589,1.064894027,1.069471065,1.038208292,1.13197957,1.112978547,1.061125322,1.092917687,1.073540078,1.06490091
256,668158.pbs-6,3,202754.640625,374.581409262,ebb9aed8443fd9b707f0ee43ffc693f4902fb7f8,11165202,50653000,53157376,282752,52874624,1.706224003,1.235049158,1.333623749,1.23869434,1.226636935,1.267180394,1.288598301,1.233479012,1.284000931,1.292498688
512,668159.pbs-6,3,201512.4453125,1087.100024028,ebb9aed8443fd9b707f0ee43ffc693f4902fb7f8,22343250,101194696,105154048,445568,104708480,1.270712802,1.257304047,1.446178439,1.309744253,1.254812117,1.329235946,1.385364722,1.325693301,1.306337346,1.262943955
