nprocs,pbs_job_id,degree,dofs_per_core,mesh_gen_time_s,firedrake_git_commit,source_cells,source_dofs,target_dofs,assembly_time_s,first_apply_time_s,apply0,apply1,apply2,apply3,apply4,apply5
1,668144.pbs-6,3,211046.5,1.556166631,510047492d1c1e3e3581fd1836a52edb6d22773c,41154,195112,226981,0.002186432,0.558369584,0.010813238,0.011216132,0.010319314,0.01032434,0.010334149,0.010293873
2,668144.pbs-6,3,206998.25,3.00576025,510047492d1c1e3e3581fd1836a52edb6d22773c,82944,389017,438976,0.002276156,0.627095706,0.011584823,0.011380181,0.011050512,0.011081069,0.011340088,0.011407188
4,668144.pbs-6,3,198019.375,4.206822529,510047492d1c1e3e3581fd1836a52edb6d22773c,162000,753571,830584,0.00230437,0.600259255,0.012299354,0.012156655,0.011835375,0.011880513,0.01177552,0.011885388
8,668144.pbs-6,3,197744.1875,6.830597936,510047492d1c1e3e3581fd1836a52edb6d22773c,329232,1520875,1643032,0.002365613,0.603128766,0.013711638,0.013915289,0.013639532,0.013567002,0.015227621,0.013569226
16,668144.pbs-6,3,196575.53125,12.306646101,510047492d1c1e3e3581fd1836a52edb6d22773c,663552,3048625,3241792,0.002393969,0.650773933,0.015883427,0.016236593,0.015847239,0.015867449,0.015804055,0.015836516
32,668144.pbs-6,3,199511.046875,25.894933023,510047492d1c1e3e3581fd1836a52edb6d22773c,1361886,6229504,6539203,0.002450568,0.789953902,0.021111542,0.021090626,0.020749721,0.021554954,0.02212715,0.020827526
64,668144.pbs-6,3,198945.6484375,64.366882752,510047492d1c1e3e3581fd1836a52edb6d22773c,2739198,12487168,12977875,0.003718673,0.970011073,0.023619938,0.024604125,0.023960786,0.023755716,0.0237847,0.023793468
128,668145.pbs-6,3,197536.96484375,111.540964666,510047492d1c1e3e3581fd1836a52edb6d22773c,5476038,24897088,25672375,0.003577455,1.00639876,0.028171005,0.03341145,0.036384802,0.024599871,0.024406845,0.024721464
256,668146.pbs-6,3,202754.640625,292.16981965,510047492d1c1e3e3581fd1836a52edb6d22773c,11165202,50653000,53157376,0.003651414,1.420377045,0.039023508,0.027108888,0.058488815,0.107669706,0.029770251,0.043013369
512,668147.pbs-6,3,201512.4453125,1035.512559497,510047492d1c1e3e3581fd1836a52edb6d22773c,22343250,101194696,105154048,0.00449138,1.191565994,0.030358993,0.033509178,0.051375386,0.085841288,0.068401984,0.028762279
1024,668148.pbs-6,3,202627.609375,2973.590379858,510047492d1c1e3e3581fd1836a52edb6d22773c,45177216,204336469,210644875,0.004760895,1.344052016,0.04461226,0.076837468,0.041323941,0.030669204,0.0322397,0.062057767
2048,668149.pbs-6,3,203145.32202148438,9685.068255359,510047492d1c1e3e3581fd1836a52edb6d22773c,90415338,408518488,423564751,0.081415392,1.606024869,0.060196581,0.031749752,0.036145141,0.032037448,0.114831314,0.036119568
