nprocs,pbs_job_id,degree,dofs_per_core,mesh_gen_time_s,firedrake_git_commit,source_cells,source_dofs,target_dofs,found_target_points,missing_target_points,run0,run1,run2,run3,run4,run5,run6,run7,run8,run9
128,668121.pbs-6,3,197536.96484375,142.49061495,510047492d1c1e3e3581fd1836a52edb6d22773c,5476038,24897088,25672375,174050,25498325,1.102672836,1.100184416,1.120065416,1.108898338,1.085757614,1.097473675,1.182306951,1.104815427,1.162024286,1.122415496
512,668123.pbs-6,3,201512.4453125,1059.301647942,510047492d1c1e3e3581fd1836a52edb6d22773c,22343250,101194696,105154048,445568,104708480,1.319295779,1.208932017,1.557130748,1.265278397,1.257234302,1.192995659,1.171939391,1.250488257,1.376487662,1.251675478
1024,668124.pbs-6,3,202627.609375,3033.903560518,510047492d1c1e3e3581fd1836a52edb6d22773c,45177216,204336469,210644875,708050,209936825,1.367210585,1.294662217,1.275893163,1.552932927,1.255919485,1.615444196,1.320446835,1.39150204,1.365763672,1.321288921
1,668120.pbs-6,3,211046.5,1.554454195,510047492d1c1e3e3581fd1836a52edb6d22773c,41154,195112,226981,7442,219539,0.597178393,0.598149101,0.599754189,0.597261569,0.596959062,0.601504083,0.5994431,0.598448406,0.594939372,0.59429965
2,668120.pbs-6,3,206998.25,3.03504201,510047492d1c1e3e3581fd1836a52edb6d22773c,82944,389017,438976,11552,427424,0.665871936,0.670683677,0.671148957,0.641250304,0.661538497,0.672587873,0.639246314,0.660323992,0.644011913,0.645771363
4,668120.pbs-6,3,198019.375,4.187385299,510047492d1c1e3e3581fd1836a52edb6d22773c,162000,753571,830584,17672,812912,0.625591444,0.597986739,0.618306251,0.613220852,0.644361404,0.622591286,0.609329393,0.625133452,0.613280003,0.666052474
8,668120.pbs-6,3,197744.1875,6.745397055,510047492d1c1e3e3581fd1836a52edb6d22773c,329232,1520875,1643032,27848,1615184,0.666598507,0.61757167,0.632072206,0.616794727,0.619860055,0.621044129,0.626286767,0.616734043,0.616118723,0.60038413
16,668120.pbs-6,3,196575.53125,12.26608183,510047492d1c1e3e3581fd1836a52edb6d22773c,663552,3048625,3241792,43808,3197984,0.666481981,0.664716656,0.659851372,0.667509008,0.669173048,0.68266206,0.667490267,0.650188656,0.649368686,0.642880873
32,668120.pbs-6,3,199511.046875,28.210126106,510047492d1c1e3e3581fd1836a52edb6d22773c,1361886,6229504,6539203,69938,6469265,0.797375591,0.857735592,0.802051962,0.828630337,0.808369367,0.82552159,0.768342943,0.847160824,0.873256287,0.886885789
64,668120.pbs-6,3,198945.6484375,62.310862328,510047492d1c1e3e3581fd1836a52edb6d22773c,2739198,12487168,12977875,110450,12867425,1.015084778,1.075896704,1.011347382,1.033357447,1.035482986,1.11708423,1.008215066,1.020135852,1.010697303,1.017565415
256,668122.pbs-6,3,202754.640625,375.561238102,510047492d1c1e3e3581fd1836a52edb6d22773c,11165202,50653000,53157376,282752,52874624,1.2042346,1.238183865,1.209852485,1.155317354,1.216676058,1.152712611,1.14010914,1.160904522,1.157460995,1.133789577
